id,name_en,juz_id,name_ar,text,
1,Al-Fatiha,الفاتحة,1,Surat Al-Fatiha the opening chapter of the Quran holds immense spiritual significance in Islam encapsulating fundamental aspects of faith and worship. It begins with praise and glorification of Allah acknowledging His mercy and sovereignty over all creation. The chapter then transitions into a supplication for guidance seeking the straight path of righteousness and truth while recognizing the impending Day of Judgment. Al-Fatiha highlights Allah's attributes and serves as a plea for help in staying on the right path and avoiding deviation. It culminates with a reaffirmation of worship and praise for Allah solidifying its central role as a comprehensive prayer recited in every unit of Muslim prayer reflecting the essence of the entire Quran and guiding believers in their spiritual journey.
2,Al-Baqarah,البقرة,1,Surat Al-Baqarah the second chapter of the Quran is the longest chapter encompassing various aspects of faith law and guidance. It emphasizes the essence of faith the importance of charity the significance of prayer and the observance of fasting during Ramadan. The Surah narrates stories of past prophets guiding believers through their trials and tribulations emphasizing the importance of steadfastness and trust in Allah. It provides extensive guidance on social and economic matters including inheritance laws business transactions and legal provisions for marriage and divorce. Al-Baqarah encourages justice kindness and charity while warning against hypocrisy arrogance and disbelief. Overall it serves as a comprehensive guide for Muslims addressing a wide array of religious social and moral principles essential for a righteous life.
3,Aal-e-Imran,آل عمران,1, Surat Aal-e-Imran the third chapter of the Quran focuses on the unity of God recounting the story of Mary and the birth of Jesus while emphasizing the universality of faith and the challenges faced by believers. It underscores the importance of steadfastness prayer and charity detailing the adversities encountered by those who stand by their faith. The chapter addresses the People of the Book inviting them to common ground in the belief in one God and obedience to divine guidance. Aal-e-Imran discusses the significance of learning from past scriptures and prophets urging believers to remain steadfast in their convictions despite challenges. It reinforces the concept of accountability in the Hereafter and encourages humility and submission to God's will emphasizing the virtue of patience and perseverance in the face of trials.
4,An-Nisa,النساء,1,Surat An-Nisa "The Women" is the fourth chapter of the Quran comprising 176 verses predominantly addressing matters related to women family inheritance and justice. It outlines inheritance laws emphasizing fairness and proper distribution of wealth among family members. The Surah also highlights the rights of women emphasizing their protection fair treatment and the importance of justice in dealings with them. It addresses the establishment of justice within society and the need for equitable treatment regardless of gender. Additionally it discusses issues such as marriage guardianship and social responsibilities aiming to establish a society based on fairness equity and mutual respect between men and women. Surah An-Nisa emphasizes the importance of upholding justice and fulfilling rights within familial and societal contexts.
5,Al-Maeda,المائدة,1,Surat Al-Ma'idah the fifth chapter of the Quran addresses various aspects of legal and ethical principles emphasizing the importance of fulfilling contracts and covenants while providing guidelines on permissible and forbidden foods. It highlights the concept of justice advocating for fairness in dealings and addressing societal issues such as the treatment of orphans and the prohibition of gambling and intoxicants. The chapter details regulations for prayer and ablution and emphasizes the unity of the Abrahamic faiths urging mutual understanding and respect among believers. It also discusses matters related to inheritance and provides guidance on issues such as fasting pilgrimage and the consequences of breaking oaths. Overall Al-Ma'idah serves as a comprehensive guide incorporating legal ethical and moral principles while emphasizing the importance of justice integrity and faithfulness in individual conduct and societal interactions.
6,Al-Anaam,الأنعام,1,Surat Al-An'am the sixth chapter of the Quran primarily addresses the concept of monotheism ethical conduct and the consequences of disbelief. It emphasizes the oneness of God and encourages believers to ponder the signs in creation as evidence of divine existence. The chapter narrates stories of previous prophets illustrating their struggles and the responses of their communities to their messages. It stresses the importance of ethical behavior justice and righteousness in individual conduct. Al-An'am highlights the consequences of disbelief urging adherence to the guidance provided by God through His messengers. The surah aims to establish a deep understanding of monotheism ethical values and the significance of following the divine message while warning against the repercussions of rejecting it.
7,Al-Araf,الأعراف,1,Surat Al-A'raf the seventh chapter of the Quran discusses stories of past nations their prophets and their responses to divine guidance. It narrates events from the lives of various prophets emphasizing the consequences of disbelief and the importance of adhering to God's guidance. The surah highlights the persistent pattern of rejection by disbelieving nations despite receiving clear signs and warnings from their prophets. It emphasizes the necessity of reflection on these historical accounts to draw lessons for contemporary societies urging people to avoid arrogance and heed the guidance provided by God through His messengers. The chapter underlines the significance of obeying God's commands and warns against falling into the same errors and misjudgments as previous nations who faced divine punishment due to their obstinacy and disbelief.
8,Al-Anfal,الأنفال,1,Surat Al-Anfal the eighth chapter of the Quran primarily focuses on the Battle of Badr highlighting the conduct of believers in times of conflict and emphasizing the importance of unity discipline and steadfastness in facing challenges. It outlines guidelines for warfare addressing the distribution of war spoils strategies in battle and the importance of obedience to God and His Messenger. The chapter underscores the significance of trust in Allah maintaining firmness in faith and seeking His guidance in moments of adversity. Additionally it highlights the importance of preparation strategy and unity among believers when faced with challenges reminding them to stand together in defense of truth and justice while highlighting the consequences of betrayal and disobedience.
9,At-Taubah,التوبة,1,Surat Al-Tawbah also known as "The Repentance" is the ninth chapter of the Quran emphasizing the concept of repentance steadfastness and dealing with those who violate treaties or engage in hostility against the Muslim community. It discusses the dissolution of treaties with the idolaters who repeatedly breached agreements calling for a reassessment of relationships based on their behavior. The Surah stresses the importance of upholding commitments while allowing for forgiveness and repentance. It also highlights the necessity of Jihad in certain contexts especially when defending against aggression. Moreover it encourages acts of charity supports those who dedicate themselves to righteous causes and reminds believers of God's mercy and forgiveness upon sincere repentance.
10,Yunus,يونس,1,Surat Al-Yunus the 10th chapter of the Quran delves into the stories of various prophets emphasizing the universality of their messages and the consequences of disbelief. It discusses the life of Prophet Yunus (Jonah) highlighting his experience of being swallowed by a whale and his subsequent repentance emphasizing the importance of seeking forgiveness and turning to God in times of distress. The surah addresses the persistent rejection of prophets by disbelievers urging reflection on the signs of God present in the natural world and encouraging faith in His existence and oneness. It underscores the inevitability of accountability on the Day of Judgment and the repercussions of denying the truth stressing the importance of faith perseverance and seeking guidance through the teachings of the Quran.
11,Hud,هود,1, Surat Hud the eleventh chapter of the Quran is named after the prophet Hud and contains narratives of several prophets emphasizing the universal message of monotheism accountability and patience in adversity. It recounts the story of Noah's people and their rejection of his message illustrating the consequences of disbelief. The narratives of Hud Salih and Shu'ayb highlight their struggles in guiding their communities facing opposition and delivering warnings about the consequences of disobedience. The chapter emphasizes the importance of steadfastness in faith and trust in Allah amid trials. Surah Hud urges reflection on the stories of the past warning against arrogance and encouraging humility and submission to God's will emphasizing that obedience leads to success while disobedience leads to ruin.
12,Yusuf,يوسف,1,Surat Yusuf the twelfth chapter of the Quran recounts the compelling narrative of Prophet Joseph (Yusuf) in vivid detail. It begins with Yusuf recounting a dream which leads to jealousy among his brothers and their subsequent plot to get rid of him. He is sold into slavery in Egypt where his righteousness and wisdom earn him favor with his master but also lead to false accusations and imprisonment. Through various trials including interpreting dreams Yusuf's patience steadfast faith and reliance on God's guidance ultimately lead to his rise to power in Egypt. He forgives his brothers and reunites with his family emphasizing the importance of forgiveness trust in divine plans and perseverance through adversity. The story showcases divine wisdom the consequences of jealousy and betrayal and the eventual triumph of patience and righteousness.
13,Ar-Rad,الرعد,1,Surat Ar-Rad named after the thunder mentioned in its opening emphasizes the Quran's divine origin and the consequences of disbelief. It discusses the signs in the natural world as proof of God's existence urging reflection on the universe's order and complexity. This chapter accentuates the accountability of individuals for their actions stating that God does not change a people's condition until they change themselves. Ar-Rad underscores the importance of following guidance and warns against rejecting the truth reminding believers to remain steadfast and patient despite the challenges they might face. It highlights the contrast between those who believe and do righteous deeds and those who deny the truth emphasizing the ultimate outcome of both paths in the Hereafter. Ultimately the surah encourages contemplation faith and adherence to divine guidance while warning against the consequences of rejecting it.
14,Ibrahim,إبراهيم,1,Surat Ibrahim the 14th chapter of the Quran is named after the Prophet Abraham. It emphasizes gratitude worship and the consequences of rejecting faith. The chapter begins by highlighting Allah's favors and guidance towards those who are thankful. It narrates Abraham's devotion to monotheism his debates with idolaters and his supplication for the guidance of his descendants. The surah admonishes against disbelief highlighting the accountability in the Hereafter for those who reject the truth. It stresses the importance of following divine guidance calls for patience in adversity and assures believers of eventual success. The chapter underscores the inevitability of God's decree and the ultimate reward for the righteous emphasizing that those who reject faith will face dire consequences. Overall Surah Ibrahim serves as a reminder of divine blessings the significance of faith and the importance of steadfastness in the face of challenges.
15,Al-Hijr,الحجر,1,Surat Al-Hijr the 15th chapter of the Quran narrates stories of past prophets particularly focusing on the story of Prophet Lut and the people of Sodom emphasizing the consequences of their wrongdoing. It warns against arrogance and disbelief highlighting the need for humility and belief in divine guidance. The surah underscores the inevitability of divine punishment for those who deny the truth and refuse to follow the guidance provided by the prophets. It also describes the creation of human beings from clay and the eventual fate of the disbelievers who reject the messages brought by the messengers of God emphasizing the importance of heeding divine guidance and the accountability in the hereafter.
16,An-Nahl,النحل,1,Surat An-Nahl the 16th chapter of the Quran revolves around the concept of divine guidance and providence emphasizing God's signs in nature and His benevolence toward humankind. It emphasizes the gratitude owed to Allah for His countless blessings highlighting the intricate signs in creation sustenance and the guidance provided to humanity. The chapter discusses various aspects of God's creation from animals to the heavens and earth underscoring the signs of His existence. It stresses the importance of reflection upon these signs as a means to reinforce faith and understanding. Surah An-Nahl also addresses the role of messengers in delivering God's messages and calls for adherence to righteous conduct and justice. Additionally it emphasizes the importance of worshiping God alone and warns against following false deities or associating partners with Him. The chapter serves as a reminder of the divine care and guidance inherent in the natural world urging humanity to recognize and appreciate these signs while following the path of righteousness and faithfulness.
17,Al-Isra,الإسراء,1,Surat Al-Isra also known as "The Night Journey" is the 17th chapter of the Quran. It begins by narrating Prophet Muhammad's miraculous journey from Mecca to Jerusalem and then to the heavens underscoring Allah's power and the Prophet's significance. The chapter addresses themes of faith accountability and guidance emphasizing the importance of prayer charity and kindness towards parents. It highlights the significance of the Quran as a guide and warning for humanity reminding people of the Day of Judgment and the consequences of their actions. Al-Isra stresses the importance of righteousness justice and following the path of God while acknowledging the trials believers may face. The surah draws attention to previous nations' stories as lessons for reflection emphasizing the inevitability of divine justice and mercy. Overall it underscores the importance of faith moral conduct and the ultimate accountability before God.
18,Al-Kahf,الكهف,1,Surat Al-Kahf the 18th chapter of the Quran is revered for its narrative of faith trials and guidance. It opens with stories of young men seeking refuge in a cave and their miraculous preservation by Allah emphasizing the importance of faith in trying times. It then introduces the tale of Prophet Moses and Khidr highlighting the concept of divine wisdom and the realization that human understanding has limitations. The chapter proceeds to narrate the parable of a wealthy man and his two gardens cautioning against arrogance and the ephemeral nature of worldly possessions. Finally it discusses the account of Dhul-Qarnayn a righteous ruler journeying the world and upholding justice. Overall Surah Al-Kahf offers profound lessons about faith perseverance humility and the transient nature of worldly gains guiding believers through various trials by emphasizing reliance on God's wisdom and power.
19,Maryam,مريم,1,Surat Maryam the 19th chapter of the Quran is named after Mary the mother of Jesus and narrates several significant events. It begins by mentioning the miraculous birth of John (Yahya) to Zechariah and the birth of Jesus to Mary emphasizing the miraculous nature of Jesus' birth. The chapter portrays Mary's piety and dedication to God her interactions with her community and the accusations she faces due to her miraculous pregnancy. It details the conversation between Mary and the angel announcing Jesus' birth which serves as a sign from God. The surah recounts Jesus' speech in infancy defending his mother's honor and it reaffirms his prophethood. Additionally it emphasizes the Day of Judgment and warns against rejecting the truth. Overall Surah Maryam highlights the significance of prophets especially Jesus and underscores the importance of faith divine mercy and the inevitability of accountability before God.
20,Taha,طه,1,Surat Taha the 20th chapter of the Quran narrates aspects of Prophet Moses's life focusing on his mission and encounters with Pharaoh. It begins with the story of Moses's revelation and his encounter with the burning bush where Allah instructs him to go to Pharaoh with divine messages. The surah details Moses's conversation with Pharaoh presenting signs and miracles to prove his mission's authenticity. Despite witnessing these signs Pharaoh refuses to believe and challenges Moses leading to a series of confrontations. Taha emphasizes the power of faith perseverance and trust in Allah's guidance showcasing Moses's unwavering commitment to his mission despite numerous trials and rejections from Pharaoh. It highlights the ultimate victory of truth over falsehood and the consequences of rejecting divine guidance urging reflection on the story's moral lessons and the importance of steadfastness in faith.
21,Al-Anbiya,الأنبياء,1, Surat Al-Anbiya the 21st chapter of the Quran discusses the struggles and messages of various prophets emphasizing their unwavering dedication to conveying the divine message despite facing opposition and disbelief from their people. It narrates stories of Noah Abraham Moses and others highlighting their commitment to monotheism the challenges they encountered and the eventual support from Allah. The chapter underscores the universal nature of prophethood emphasizing that all messengers were sent with the same core message of monotheism and submission to God warning disbelievers of the consequences of rejecting the truth while offering guidance and examples of steadfastness and patience for believers to draw inspiration from in their own lives.
22,Al-Hajj,الحج,1, Surat Al-Hajj the 22nd chapter of the Quran emphasizes the pilgrimage to Mecca (Hajj) as a profound spiritual journey calling believers to perform this sacred obligation with dedication and reverence. It highlights the Day of Judgment portraying the scene when people will be resurrected and held accountable for their deeds. The Surah urges humanity to turn to Allah sincerely emphasizing that those who deny the truth will face the consequences while those who believe and do righteous deeds will be rewarded. Al-Hajj stresses the universal message of Islam emphasizing monotheism warning against arrogance and urging people to embrace the faith wholeheartedly. It addresses various aspects of faith social conduct and the inevitability of the Day of Judgment emphasizing the significance of faith and righteous actions in determining one's destiny in the Hereafter.
